Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Care for Caged and Aviary Birds	Steps	 	Provide ______ of fresh water.	All birds require clean fresh drinking water, just as humans do.	pumps	2.5	container	5	transportation	2.5	source	4	plenty	5
How to Create a City or Town on Your Computer	Steps	 (...) 7. Research, the most import... second, third... uh... one of the most important things. (...) Easy way to become rich, [P.S. something like a windows movie maker probably shouldn't be cheap.] 	Finally, be creative, use the resources you have, all of them, but read the warnings before going on your own ______.		hunt	3	trips	2	budget	2	city	3	project	4
How to Play Dwarf Fortress	Steps	 (...) 5. Press ""prepare for journey carefully"". (...) Each dwarf only has a limited amount of skill poiints to use, so choose carefully. 	You are going to want about 2-3 miners, a woodcutter/carpenter, a grower/herbalist/brewer, and if you are going to be building lava spewing volcanoes to Armok, then a dwarf who is at least a competent ______.	Making one or two of your miners a mason or stone detailer will help out a lot.	healer	3.5	musician	2	mason	4.5	specialist	3.5	landowner	1.5
How to Wash Your Clothes	Related wikiHows.	 Learning how to wash clothes is a very important skill. 	Failure to acquire this ______ is not only unhealthy, but also expensive especially when the washing goes wrong.	Fortunately, it is not a very difficult skill to master.	skill	4	feat	1.5	ability	4.5	information	4	process	2.5
How to Be Glitter Goth	Steps	 (...) 3. The Hair - Glitter Goths, since they are in touch with their 5 year old self, may wear little girl hair styles. (...) Or just straight. 	Straight ______ works perfectly when you go for streaks.	Speaking of streaks, hair dye is important.	ponytail	4.5	fabric	3	end	4	hair	5	jewelry	4
How to Get Air Bubbles Out of a Glass Screen Protector	Reapplying the Screen Protector	 (...) 4. Reapply the screen protector. (...) 5. Rub your finger or a credit card across the surface of your screen protector. 	Once your screen protector starts adhering to your device, press down with your finger or the ______ of a credit card in the center of the screen.	Push from the center of your device to the outer edge to move any air bubbles out from under the screen protector.	nail	1	piece	1	part	3.5	edge	3.5	digits	1.5
How to Overcome an Infatuation	Refocusing Your Thoughts	 (...) 4. Distract yourself. (...) * For example, read a book, watch your favorite television show, exercise, or call someone. 	The positive feelings you generate from these activities will likely eventually replace the negative ______ you feel over your infatuation.		ones	5	jealousy	4.5	annoyance	2.5	perceptions	3	beliefs	4
How to Put On a Pair of Socks	Tips	 (...) * If you are a male it is probably best to shop for male socks, you can simply ask for a shop assistant to guide you in the right direction. * It is often a good idea to practise balancing on one foot, as this allows in circumstances if there are no supporting objects to apply socks correctly. 	Yoga is recommended by most ______.		organizations	2	experts	4.5	men	3.5	doctors	3	professionals	2.5
How to Get Good at Picking Up Girls	Common Habits	 1. Practice common habits. (...) * Physical escalation and few others. 	Read Pull a Girl Home, Make Out with a Random Girl and Cold Approach a Girl for more ______ about these habits and practices.		understanding	5	details	4.5	communication	3	information	5	explanation	4.5
How to Excel in High School	Steps	 (...) 13. Do the homework. (...) There is no point in doing homework if you aren't going to do it right. 14.	Do some extra ______.	After you finish your homework, do some difficult problems from your supplemental resources.	credit	5	points	2	projects	3.5	analysis	4	focus	4
How to Draw a Waterfall	Alternate Method	 1. Draw two vertical lines. 2. To the left of the two lines, add two smaller parallel lines. 	On top of each ______, draw a triangle.	Draw a trapezoid on the bottom left of the image.	diagonal	3	line	5	circle	3	tube	4.5	difference	1
How to Make a Stylus	Know Your Touch Screen	 1. Find out which type of touch screen your device uses. 	There are several different ______		ones	4.5	services	3.5	images	1	applications	3.5	Butts	1
How to Remove Scratches From Plastic Lens Glasses	Removing Scratched Lens Coatings	 1. Verify that your lenses are plastic, not glass. This method can only be used on plastic lenses, as it will permanently and irrevocably ruin glass lenses. *	Only do this ______ if you are ok with removing the anti-reflective or anti-scratch coating from your glasses.	Many times it is scratches to these coatings that hinder your sight and so removing the coatings will allow you to see through your lenses once again.	testing	3	procedures	2	time	3	method	5	routine	4
How to Get a Cat to Want to Sleep on Your Bed	Related wikiHows.	 Cats will be very picky about where they sleep. 	If you love them so much that you want them to sleep next to you, read this ______.		description	4	photo	1.5	something	1.5	information	4	article	3.5
How to Clean an Orphaned Kitten	Bathing	 (...) 2. Run the tap water to adjust the temperature of the water. (...) It should be comfortable on the skin of your wrist. 	The best method is to touch the water with your hand, place it on your wrist, and feel the degree of temperature on your own ______.	* It is very important to maintain a reasonable temperature of the water as the kitten’s skin is sensitive much like a human baby.	skin	5	device	2.5	neck	3	fingers	3.5	glove	1
How to Make a Spear Gun	Warnings.	 A simple gun that can lanch a dart or spear at incredible speeds. 	This ______ will tell you how to make it.		article	5	program	3	copy	3.5	artifact	1.5	mechanism	1
How to Wash Dishes	Steps	 (...) 9. When you have finished cleaning up the kitchen otherwise, check the soaked dishes or pots to see if the hardened or cooked-on food has loosened and comes off easily. (...) If not, set a timer for an hour and leave them to soak while you do something else. 	Some ______ let them soak overnight, then finish up in the morning.	10. Make sure all counters, stovetop, table have been wiped down, all leftover food covered and stored in the refrigerator, everything put away.	days	3	folks	4.5	cities	1	restaurants	2	families	4
How to Celebrate Remembrance Day	Decorating for Remembrance Day	 (...) 2. Create wreaths of flowers to place on memorial sites. Make wreaths by stringing different kinds of flowers and plants around a circular frame. 	These ______ can be placed on graves, statues, or anywhere you’re celebrating fallen soldiers.	Many different flowers and plants are used to symbolize wartime:	wreaths	4.5	flowers	3.5	ornaments	4.5	items	4.5	balloons	1
How to Have Safer Sex	Steps	 1. Choose your sexual partners with care. 	When you choose a sexual partner, you are choosing someone with whom you are going to exchange bodily fluids, and someone who is going to see you at your most vulnerable ______.	You need to know that that person is clean, healthy and trustworthy before you put yourself in their hands.	state	5	months	2	stages	4.5	posture	3	areas	5
How to Improve Your Piano Playing Skills	Steps	 (...) 1. Look at a sheet music and try to play it in your mind. At first, you'll find difficulty doing so, so play it tone by tone. 	At the very beginning, you might use some ______ of recording device and read the notes by humming and recording.	With progress, you'll start recording larger chunks of the sheet before pausing to read the next chunk.	group	1	mechanism	3	sort	4.5	species	3	configuration	2.5
How to Get in Good Basketball Shape	Steps	 (...) 9. Put all the above exercises into one exercise, and this will be your final one. (...) You are now finished with the exercises, so come back tomorrow and do it again. 10.	Eat healthy and get ______ of sleep.		months	1	signs	4	fits	1	stages	1	lots	5
How to Stop a Dog from Pulling on Its Leash	Clicker Training Method	 1. Do some basic clicker training with your dog. 3. As the dog catches up to you, click and drop the treat before it catches up. 	Keep repeating this ______ on your walk.	This trains the dog to pay attention to you and stay next to or behind you.	exercise	4.5	process	4.5	statement	4	rhythm	3.5	circuit	1.5
How to Survive Middle School Dance	Warnings.	 This is for girls because I have no experience as a boy. 	This ______ will help you feel more confident about going to the School Dance in Middle School.		project	3	tournament	2.5	film	3.5	doll	3	article	5
How to Take Care of Pet Rock Babies (Pebbles)	Happiness	 1. Give them each the same amount of attention. (...) * your rocks will need small toys, even just by scrunching up tissue paper, or creating models out of Play-Doh. 	Do not create any ______ with sharp edges or hazardous parts as this could cause harm to your pebbles.		plans	1	symbols	3.5	ornaments	3.5	games	1.5	toys	3
How to Water Trees	Watering During Droughts	 (...) 2. Focus on younger trees if you have multiple trees on your lot. Older trees can survive on a deep watering once a month during a drought, although twice a month would be better. 	Young ______ are much more delicate, however, and should be watered at least once per week.	Once the drought is listed, gradually reduce how often you water your tree until you are watering every other week.	bushes	4	women	3	trees	5	vines	4	leaves	2.5
How to Become a Professional Artist	Tips	 * When drawing shadows, the place where the sun shines should have no shadow. Be sure the light source (where the sun is) stays constant everywhere - you should have all the shadows on the same side of objects. *	Practice drawing different ______ of pictures first to hone your skills.	* Think before you start drawing.	types	5	layers	1	points	3	areas	3	circles	3
